?character	?state	?description 
<http://purl.org/phenoscape/uuid/0def2a25-adb0-4b97-90ce-16ff6b970bc7>	<http://purl.org/phenoscape/uuid/8e5d8b42-1cf4-4dcf-abb4-0a0cbca33125>	Bony hooks on fin rays: (0) absent
<http://purl.org/phenoscape/uuid/75ec3c60-0b1c-4aa3-9b61-5c3198988c01>	<http://purl.org/phenoscape/uuid/8ea9fa5d-2ba3-47df-805e-d71da6f2ed5a>	Ventral procurrent caudal-fin rays: Fused elements absent in males
<http://purl.org/phenoscape/uuid/24ed0442-87b9-4b1e-9b2a-7320e232e89e>	<http://purl.org/phenoscape/uuid/8f39f6ae-bd05-4e23-ac64-035d86e6c5cc>	Basal fulcra between anal and caudal fins: present
<http://purl.org/phenoscape/uuid/b5d72efd-6f5d-4a4d-97f0-0f3e060e847b>	<http://purl.org/phenoscape/uuid/8f536c95-e897-4577-bdc8-825c9bc9ca77>	Fusion of hypural 2: fused with fused preural centrum 1 and ural centrum, but separate from hypural 2
<http://purl.org/phenoscape/uuid/946ff030-34b2-44db-9ced-10619297017d>	<http://purl.org/phenoscape/uuid/93913eff-fdf3-4bd3-b9ba-de96bfc072ac>	The pectoral-fin spines: medial serrations present
<http://purl.org/phenoscape/uuid/8a22fa54-7cb7-4e76-b225-bfe011e8fff8>	<http://purl.org/phenoscape/uuid/93b55506-4c78-477e-b966-19e991ee2fd5>	(P12.) Fringing fulcra: absent
<http://purl.org/phenoscape/uuid/e0aecd11-5724-4fe1-8a77-f93bf40c3f69>	<http://purl.org/phenoscape/uuid/9c67be49-ebca-4436-90b9-179befb1c869>	First hypural: not articulating with first ural centrum
<http://purl.org/phenoscape/uuid/ded2ce75-cf00-4f30-a4b6-a47f933c12e8>	<http://purl.org/phenoscape/uuid/9e0fd076-6002-4299-82da-6df1464dc674>	Fringing fulcra and fulcral scales: absent
<http://purl.org/phenoscape/uuid/0233dacf-c22c-498c-a932-5e5ee27cc937>	<http://purl.org/phenoscape/uuid/9e62188c-1922-4a6a-ba23-5179d57551f0>	Dorsal-fin spine development: heavily ossified, sharp, longer than pectoral spine.  In the original matrix this character was coded in additive binary format:  0,1,0,0
<http://purl.org/phenoscape/uuid/e96f8398-8a42-42ce-a319-9e967781acad>	<http://purl.org/phenoscape/uuid/a7af9ab3-e294-4d06-8e58-9bf8589660d6>	Striping of caudal fin: caudal fin without wide, dark stripes extending across much of each lobe
<http://purl.org/phenoscape/uuid/aa32a123-e3fd-44ae-8d42-cc3a55b03488>	<http://purl.org/phenoscape/uuid/b32c9c2d-0f3e-4b1e-9bef-e918e0e9e5bb>	Presence or absence of sexually dimorphic patterns of dark pigmentation of stripes vs. spot on anal fin: present, with dark pigmentation in female limited to rotund dark spot on basal half of posterior portion of anal fin and dark pigmentation in male in form of three dark stripes extending from base to distal margin of anal fin and with dark pigmentation along distal margin of fin
<http://purl.org/phenoscape/uuid/b579137b-9ed5-4ba6-8261-912390c178bb>	<http://purl.org/phenoscape/uuid/b86060f3-8eed-4cc8-a0cc-c0189c89cf9a>	Long filamentous extensions of the pelvic fins: present
<http://purl.org/phenoscape/uuid/78da8050-5e8f-4c50-bc3c-6c9aa17d66f8>	<http://purl.org/phenoscape/uuid/c77761df-20b7-452f-b1c0-78034979f1a4>	Pelvic fins: set apart, with a clear space between fins
<http://purl.org/phenoscape/uuid/3a3d70c2-8171-4875-8ff8-112f2c992162>	<http://purl.org/phenoscape/uuid/c9571fa1-fe33-4b5d-a3ba-0095968c00c4>	Pectoral fin: subtriangular in dorsal view, first pectoral-fin ray terminating in short filament reaching about 5–10% of pectoral-fin length without filament; pectoral-fin rays i + 6
<http://purl.org/phenoscape/uuid/40136908-991f-46f6-9f4b-40cdb142d496>	<http://purl.org/phenoscape/uuid/c9f289da-fddb-4bee-a96e-30279ff9aa6f>	Anal fin inserted: directly beneath or slightly behind insertion of soft dorsal fin
<http://purl.org/phenoscape/uuid/fc4871a3-3e0a-42c9-829c-22d642bbef13>	<http://purl.org/phenoscape/uuid/d1ac61ac-8bf5-4891-aaf5-5e82f16cd3e1>	Adipose fin: small and situated midway between terminus of dorsal fin and anteriormost dorsal procurrent caudal- fin ray (n=50)
<http://purl.org/phenoscape/uuid/345f49c1-428f-45fe-94be-f4da49d1a472>	<http://purl.org/phenoscape/uuid/d442e56d-acee-4e59-87bf-d1c64e915755>	Dorsal fin: separate dorsal fin: present
<http://purl.org/phenoscape/uuid/bbdb96e3-0c39-416d-8bf7-7cb308232912>	<http://purl.org/phenoscape/uuid/d5706a3c-c12c-49be-a76a-55e25f214654>	There is no iliac ramus, and the pelvic fin articulates with the posterior end of the pelvis: 
<http://purl.org/phenoscape/uuid/c70036dc-94cd-4cff-b002-660de55a44bc>	<http://purl.org/phenoscape/uuid/d58e9271-d6bb-4e11-99db-a1d2d846438b>	Dorsal and anal fins: present
<http://purl.org/phenoscape/uuid/f9f8f774-3c28-420c-96e6-ab9ed6002d76>	<http://purl.org/phenoscape/uuid/d5b5d2f5-cdb8-4424-8f5b-c4a98d7e77c3>	Second or single dorsal fin opposite pelvis: present
<http://purl.org/phenoscape/uuid/db048c6e-9e04-4cac-9887-b64f1ae82adc>	<http://purl.org/phenoscape/uuid/d6ee7560-a55a-43e5-80c8-9974f8706cbe>	Ventral fin: fan or cane-like shape
<http://purl.org/phenoscape/uuid/d01072d6-ad95-41a9-8e02-f13ec699f4b7>	<http://purl.org/phenoscape/uuid/d76d00a3-54d2-440b-a37c-a24e1b86bf94>	Dorsal fin: present
<http://purl.org/phenoscape/uuid/066c0601-1ec4-4e93-b5e8-9d45409ea60a>	<http://purl.org/phenoscape/uuid/da08e68c-cc7c-4563-ace2-3daa39a89e8d>	Pelvic fins long, past vent posteriorly: absent
<http://purl.org/phenoscape/uuid/066c0601-1ec4-4e93-b5e8-9d45409ea60a>	<http://purl.org/phenoscape/uuid/db5f13c6-2349-45c1-bc23-001d350120cb>	Pelvic fins long, past vent posteriorly: present
<http://purl.org/phenoscape/uuid/5f314892-0667-4622-a69b-7f1aab4fcfc7>	<http://purl.org/phenoscape/uuid/ddc0dba8-7907-414c-a034-0524b448fea9>	Pelvic fin: slightly pointed, its tip reaching vertical line through middle of dorsal-fin base, pelvic-fin bases medially separated by interspace about three-quarters pelvic-fin base width; pelvic-fin rays i + 4
<http://purl.org/phenoscape/uuid/ca270c9a-e1d8-4de0-9a58-7cae8c1fd248>	<http://purl.org/phenoscape/uuid/df5c604c-20cb-4cff-a675-0a416ebcc190>	Pectoral fin: approximately subtriangular in dorsal view, first pectoral-fin ray terminating in long filament reaching about 50% of pectoral-fin length without filament; pecto- ral-fin rays i,5
<http://purl.org/phenoscape/uuid/3dc5e800-41cf-4ed4-92d4-606764de0d47>	<http://purl.org/phenoscape/uuid/dfa9d992-b00b-4977-a212-884c953c81df>	Dorsal fin anteriorly placed, minimally overlapping neurocranium (Chapleau 1993): Dorsal fin anteriorly placed, minimally overlapping neurocranium
<http://purl.org/phenoscape/uuid/a4b712bd-69f1-42de-bd4d-579f6d217514>	<http://purl.org/phenoscape/uuid/e2ecc7a1-ecf5-4a02-ba3c-5b6a4a98bc6b>	Dorsal fin: present
<http://purl.org/phenoscape/uuid/40136908-991f-46f6-9f4b-40cdb142d496>	<http://purl.org/phenoscape/uuid/ec13a469-6ab8-46ed-844a-8440539a9aab>	Anal fin inserted: midpoint of soft dorsal fin (from specimens)
<http://purl.org/phenoscape/uuid/442e9ead-cb6a-45ee-93cd-07d212563c36>	<http://purl.org/phenoscape/uuid/f4829f92-8202-46f0-a887-39f92bff216e>	Dorsal fin: semicircular, distal margin rounded, origin on posterior half of body; dorsal rays, ii,6(7) or ii,7(43*); branched rays single branching; two or three supernumerary rays anterior to origin
<http://purl.org/phenoscape/uuid/231c6018-0b84-48f4-99d5-d455db91a0e8>	<http://purl.org/phenoscape/uuid/f49bffa4-6e2f-4be8-a739-e2928991b16f>	Pelvic fin: slightly pointed, its tip reaching vertical line through middle of dorsal-fin base, pelvic-fin bases medially separated by interspace nearly equal to pelvic-fin base width; pelvic-fin rays i + 4
<http://purl.org/phenoscape/uuid/50353342-4531-4036-98bf-c2c65687c211>	<http://purl.org/phenoscape/uuid/f5ec5039-d285-411b-bfb1-dcbe57812928>	Dorsal fin, shape of (LUND 2000, char. 59; POPLIN & LUND 2000, char. 37): sigmoidal
<http://purl.org/phenoscape/uuid/baeaee3e-5b2a-4aa1-a5a2-c65f83474225>	<http://purl.org/phenoscape/uuid/f691e9c6-3838-465e-a110-97d85f8c7a35>	Single dorsal fin elongate, extending from near-pectoral level to anal or pre-anal fin level: absent
<http://purl.org/phenoscape/uuid/f2ca424a-dda3-4212-998a-97869777f596>	<http://purl.org/phenoscape/uuid/fc41d684-9b10-445b-b071-20cf09a98e1a>	Dorsal fin: dorsal fin with a conspicuous dark blotch
<http://purl.org/phenoscape/uuid/026d6aba-e02a-498c-a057-e3a6bce214e9>	<http://purl.org/phenoscape/uuid/038151cd-703b-4217-bcbf-791ccf7a3f70>	Pelvic fin: slightly pointed, its tip reaching vertical through origin of dorsal-fin base, pelvic-fin bases medially separated by interspace nearly equal to pelvic-fin base width; pel- vic-fin rays i,2,i (2) or i,2,ii (2)
<http://purl.org/phenoscape/uuid/9b20e026-1fb5-472f-9962-6f54c5addcd0>	<http://purl.org/phenoscape/uuid/045432c6-388e-40d5-820d-b425a72cda94>	Absence of dorsal-fin blotch (vs. dorsal-fin blotch present): present
<http://purl.org/phenoscape/uuid/010cbaca-041e-4fca-9d1c-d4ac7475bb45>	<http://purl.org/phenoscape/uuid/048a8de1-60c7-4aa3-af4b-08066d78434d>	Anal fin: large; origin near middle of body, with 2 simple and Xl-14 branched rays (last ray not divided to base)
<http://purl.org/phenoscape/uuid/e3bd190a-8503-4760-b591-3b813a155288>	<http://purl.org/phenoscape/uuid/0cf4986d-eb3b-4157-9391-c8a086f7b4d0>	Pelvic fin: small, horizontally placed, posteriormost tip reaching anal-fin origin when depressed
<http://purl.org/phenoscape/uuid/e3d9043f-1a4d-4086-9cbc-53c6fd0ceead>	<http://purl.org/phenoscape/uuid/0d711f7f-db2f-4a69-8bea-dc2245d4e471>	Anal-fin size: anal fin expansive, of large size
<http://purl.org/phenoscape/uuid/d642baa7-c084-4797-a0c7-6aff28f244e1>	<http://purl.org/phenoscape/uuid/1910a5bb-c5d4-48d3-816a-2149ac533654>	Dorsal-fin color pattern: not pigmented or with a pattern different from state 1
<http://purl.org/phenoscape/uuid/8196ba5b-6a19-4340-80b9-bc3c60f498d2>	<http://purl.org/phenoscape/uuid/1a2442ec-4a27-4598-ac72-43637296da53>	Pelvic fin: Falling short of urogenital opening by  distance larger than anal-fin length
<http://purl.org/phenoscape/uuid/11c4732f-b200-454f-ae60-6706286d5b15>	<http://purl.org/phenoscape/uuid/1c165f2d-ace7-4d78-930f-0c4fd7280526>	Distinct caudal-fin blotch: present
<http://purl.org/phenoscape/uuid/8196ba5b-6a19-4340-80b9-bc3c60f498d2>	<http://purl.org/phenoscape/uuid/29a0fd40-9f88-4721-9e1b-4ec6b378c22b>	Pelvic fin: Almost reaching to urogenital opening
<http://purl.org/phenoscape/uuid/7ab174a6-a757-4dbc-b4ed-be23864a7a04>	<http://purl.org/phenoscape/uuid/2bb51798-5ac3-4163-be5e-81a9c61a2f11>	Distinct dark brown spot at centre of caudal-fin base: present
<http://purl.org/phenoscape/uuid/924970c2-3f54-44ef-a8ea-e7d8e83d06de>	<http://purl.org/phenoscape/uuid/2dba7e7d-6fb3-455a-b7c9-a7df5b453d6d>	Dorsal fin origin anterior to that of pelvic fin: present
<http://purl.org/phenoscape/uuid/39405a4d-f818-4fb9-bb49-eb6be3d411f0>	<http://purl.org/phenoscape/uuid/307b9fd9-5138-40cb-8359-e43a73c8c54a>	Dorsal and anal fins: present
<http://purl.org/phenoscape/uuid/11c4732f-b200-454f-ae60-6706286d5b15>	<http://purl.org/phenoscape/uuid/352d7196-5feb-4215-987d-fd1d2cf9b7c3>	Distinct caudal-fin blotch: absent
<http://purl.org/phenoscape/uuid/a01f7648-2402-41c3-b38c-f8dd64497586>	<http://purl.org/phenoscape/uuid/3ab25cc5-d517-4326-87d2-20145d0306a3>	Dorsal fin: dorsal fin with a dark crescent-shaped blotch
<http://purl.org/phenoscape/uuid/e96f8398-8a42-42ce-a319-9e967781acad>	<http://purl.org/phenoscape/uuid/409a27a2-c728-4e96-a4a1-258e47810a33>	Striping of caudal fin: caudal fin with wide dark stripes extending across much of each lobe; stripe(s) of dorsal lobe run from anterodorsal to posteroventral; stripe(s) of ventral lobe run from anteroventral to posterodorsal
<http://purl.org/phenoscape/uuid/78e88dbc-7887-4155-9332-959c9a80ffe7>	<http://purl.org/phenoscape/uuid/4211cd06-bde3-4908-8042-788de1297f5c>	Dorsal fin: presence of a black blotch at the tip of the dorsal fin
<http://purl.org/phenoscape/uuid/dab0b681-9769-422b-aaa3-7665a14dabc6>	<http://purl.org/phenoscape/uuid/43564a08-23d6-433e-b777-c3b5f191db55>	Anal fin: fainter blotch at the tip of the anal fin
<http://purl.org/phenoscape/uuid/c2fc30c9-8b61-4623-b1af-6f65fa15936e>	<http://purl.org/phenoscape/uuid/4c873743-d9f4-4444-9048-d9e46a3ee88b>	Pectoral-fin spine: present
<http://purl.org/phenoscape/uuid/ba097a15-2bc0-404b-99c8-93a67d025e1f>	<http://purl.org/phenoscape/uuid/4d429eaf-3fd2-4fc8-b922-6cbb8ae3ed91>	Pelvic fin: long
<http://purl.org/phenoscape/uuid/6b2d1d23-6807-41b9-a7ea-0a5a50e86ca3>	<http://purl.org/phenoscape/uuid/50b59ec3-c0fe-4756-af81-29e7414542d4>	Pectoral fin: approximately subtriangular in dorsal view, first pectoral-fin ray extending in long filament equally long as preced- ing fin length; pectoral-fin rays i,4
<http://purl.org/phenoscape/uuid/931a46c9-7cae-45c1-8f4e-4a8c01c82f3d>	<http://purl.org/phenoscape/uuid/50fbdf65-fc5d-44a4-8075-c952c100b574>	Dorsal fin of breeding males and females: uniformly pigmented with melanophores
<http://purl.org/phenoscape/uuid/c04ab387-7e08-48ce-a8cb-c4c681a650bd>	<http://purl.org/phenoscape/uuid/5274ffd5-8075-4e2b-9b84-9103e972c080>	Fusion of hypurals 1 and 2: hypurals 1 and 2 in contact but not fused
<http://purl.org/phenoscape/uuid/6f5ce168-7e3c-48db-85bc-0070e958ea1f>	<http://purl.org/phenoscape/uuid/52ef6162-f527-4064-916b-7894e45caea1>	Pelvic fin: slightly pointed, with 7 rays; a small axillary scale present
<http://purl.org/phenoscape/uuid/731a898d-d456-43fb-b9f5-469c87899515>	<http://purl.org/phenoscape/uuid/5a6064de-1ed5-42a1-b294-6750ac1e880b>	Pelvic fin: slightly pointed, with 6 rays; two axillary scales distinct in largest specimens
<http://purl.org/phenoscape/uuid/23793f2e-0b94-4a9b-bfdc-269ecb093edc>	<http://purl.org/phenoscape/uuid/5c09c124-da82-4994-87e3-8e1a1515beda>	Pelvic fin: slightly pointed, its posterior tip anterior to vertical through dorsal-fin origin, pelvic-fin bases medially separated by interspace nearly equal to pelvic-fin base width,
<http://purl.org/phenoscape/uuid/8896a65b-50b2-48e0-9ccf-7f9336f3085c>	<http://purl.org/phenoscape/uuid/5476891f-8067-4947-970d-b026a8759763>	Dorsal fin: present
<http://purl.org/phenoscape/uuid/baeaee3e-5b2a-4aa1-a5a2-c65f83474225>	<http://purl.org/phenoscape/uuid/58c7a5a7-826f-4291-ae0a-3ca104e863ac>	Single dorsal fin elongate, extending from near-pectoral level to anal or pre-anal fin level: present
<http://purl.org/phenoscape/uuid/75ea23c1-89ea-4f17-b362-f05dd6b7b12c>	<http://purl.org/phenoscape/uuid/59291d94-8f52-4a4a-896b-0a48d9b06005>	Posterior shift of the region of interdigitation of the ventral portion of the first proximal radial pterygiophore of the dorsal fin to between the neural spines of the sixth and seventh vertebrae posterior of the Weberian complex (Figure 3B).: Posterior shift of the region of interdigitation of the ventral portion of the first proximal radial pterygiophore of the dorsal fin to between the neural spines of the sixth and seventh vertebrae posterior of the Weberian complex (Figure 3B).
<http://purl.org/phenoscape/uuid/7c9b9f62-d365-468f-9e35-0cb0b12c5664>	<http://purl.org/phenoscape/uuid/614e93e6-eb8f-437e-bbcd-4c570dc6c01d>	Bases of hypurals 1 and 2: not joined by cartilage in any growth stage
<http://purl.org/phenoscape/uuid/615d8033-d5c0-4714-971a-e2626fe31472>	<http://purl.org/phenoscape/uuid/65502b84-7906-4f7d-919b-d5e719002bb9>	Hypural 1: autogenous
<http://purl.org/phenoscape/uuid/32bd645e-4238-45f2-bbf1-2a1fe585749b>	<http://purl.org/phenoscape/uuid/66b5f1e5-9708-4bac-964b-f1f07f2a24f2>	Hypural 1 and terminal centrum: separated by a hiatus
<http://purl.org/phenoscape/uuid/c5dd7775-2e40-43c2-aff7-8a4265906877>	<http://purl.org/phenoscape/uuid/66ba2542-8767-4cb4-81a0-de78e5fe2836>	Pectoral-fin rays: i,7(8) or i,8*(25)
<http://purl.org/phenoscape/uuid/69bb4cb2-61eb-4d69-9e73-7e22b1aaf45b>	<http://purl.org/phenoscape/uuid/66e4d2ac-6628-4fe1-9c7b-8f6c47f4fca3>	Presence or absence of sexual dimorphism in form of stripe and spot on fin rays vs. basal stripe on anal fin: present, females without dark pigmentation on anal-fin rays, but with basal stripe present along anterior portion of anal fin; males with dark stripe beginning at middle of anterior rays of anal fin and angled posteriorly to middle of distal margin of fin, with second spot of dark pigmentation on distal portions of posterior rays
<http://purl.org/phenoscape/uuid/7499d009-634b-40eb-b80f-0d5270efa703>	<http://purl.org/phenoscape/uuid/6b16cec1-33c2-486a-9dbf-1a35d5c3c4d8>	Procurrent caudal-fin rays: present
<http://purl.org/phenoscape/uuid/1dd50287-5953-48bb-9cb9-4c2939dc42d8>	<http://purl.org/phenoscape/uuid/6dc45b06-d5c1-4df7-a049-3d7088bcdb4c>	Dorsal and anal fins: present
<http://purl.org/phenoscape/uuid/847b0ba9-72e4-4d7c-9ee3-5106c83196c8>	<http://purl.org/phenoscape/uuid/6ef45320-4bd4-4063-96cc-9b50710f3ad1>	Pectoral fin spine attachment and ornamented dermal plates: not attached to dermal plates
<http://purl.org/phenoscape/uuid/d27a0554-d70b-4ceb-9cea-806d1fffc9cb>	<http://purl.org/phenoscape/uuid/70c2cc98-aff7-40de-b6e9-020367aaef7b>	Paired pectoral spines: present
<http://purl.org/phenoscape/uuid/f0902817-3235-430f-b513-f899e779a39d>	<http://purl.org/phenoscape/uuid/72819bb6-4a79-4bc0-8cf0-105bf72661dd>	Degree of ossification of distal radials of anal fin of adults: gradually less ossified posteriorly with posteriormost distal radials completely cartilaginous
<http://purl.org/phenoscape/uuid/015f4e18-f4a1-498a-8d75-423981cd1cc2>	<http://purl.org/phenoscape/uuid/731fbaa5-a902-4f9f-851c-9978953f2d2c>	Pectoral-fin rays: i*(43), nine(26) or 10*(17)
<http://purl.org/phenoscape/uuid/ed62df8b-778c-4887-b3cb-7ed3b7cbf23b>	<http://purl.org/phenoscape/uuid/7466c299-071b-4a9e-80cb-5a3c4dbe7244>	Pectoral fin: subtriangular in dorsal view, first pectoral-fin ray terminating inlong filament reaching about 50 % of pectoral-fin length without filament; pectoral-fin rays i + 6 – 7
<http://purl.org/phenoscape/uuid/3aa702f1-97b0-4c1a-ae15-e8ba2c977dbf>	<http://purl.org/phenoscape/uuid/7539717e-396e-4312-a91e-28cacf55e59f>	Pectoral-fin rays: i10(5), 11(4), or 12*(10)
<http://purl.org/phenoscape/uuid/55831b52-4504-40ec-a7ac-c930acc94a6c>	<http://purl.org/phenoscape/uuid/76d93f9f-0d81-4b90-a781-625bdefa6d61>	Caudal fin: subtruncate, ventral portion slightly longer than dorsal portion; principal caudal-fin rays i + 10 + ii, caudal procurrent rays viii – x + ix – x
<http://purl.org/phenoscape/uuid/f85c2691-654a-4427-8f33-0eac1fda6523>	<http://purl.org/phenoscape/uuid/77437c06-802f-44b1-ab1f-da00099c71a0>	Dorsal and anal fins: present
<http://purl.org/phenoscape/uuid/f2cc41ac-aa73-4621-aaf7-0bf73a9edb71>	<http://purl.org/phenoscape/uuid/7820236c-04e9-4179-8497-ea6055af3d88>	Ossified portion of pectoral spine: slightly reduced in size
<http://purl.org/phenoscape/uuid/b35a2fad-f06b-444e-bee1-a8412d297509>	<http://purl.org/phenoscape/uuid/7838751f-42b5-4868-92a8-44158673a732>	Fusion of hypurals 1 and 2: hypurals 1 and 2 in contact but not fused
<http://purl.org/phenoscape/uuid/9f5d899d-8787-4dbf-91a6-71f7daf38bc5>	<http://purl.org/phenoscape/uuid/7864fdac-aa9e-4748-8959-e587db7cd9ad>	pelvic fin: reduced
<http://purl.org/phenoscape/uuid/ba9bc877-b8e7-46cf-9743-eb758ce07cef>	<http://purl.org/phenoscape/uuid/7915d361-6894-4dbc-9d17-97ef67d53717>	Pectoral-fin rays: i*(19), 9*(7), 10(9) or 11(2)
<http://purl.org/phenoscape/uuid/78b79b23-0c0b-4ecf-a47a-729cef89a48a>	<http://purl.org/phenoscape/uuid/79f94d51-6fc5-46ed-99e8-5018a49a41d2>	First unbranched pectoral fin ray: Strongly ossified as spine
<http://purl.org/phenoscape/uuid/50353342-4531-4036-98bf-c2c65687c211>	<http://purl.org/phenoscape/uuid/7a2b6042-2dd4-43ed-857d-148ca7190d06>	Dorsal fin, shape of (LUND 2000, char. 59; POPLIN & LUND 2000, char. 37): long, acuminate
<http://purl.org/phenoscape/uuid/8fd4a58b-2936-4b0f-886e-6e7840d00e23>	<http://purl.org/phenoscape/uuid/7c4a2925-161b-432a-81a3-4b359a589391>	caudal fin principal rays: present
<http://purl.org/phenoscape/uuid/c6b19943-4ab5-46fc-8143-94be1afe6128>	<http://purl.org/phenoscape/uuid/7cb9db4a-3c8d-4838-8957-a172192a4ce6>	Pelvic fin: elongate with i,7 (1); i,8* (43), or i,9 (6) rays
<http://purl.org/phenoscape/uuid/931a46c9-7cae-45c1-8f4e-4a8c01c82f3d>	<http://purl.org/phenoscape/uuid/7d5be258-09a7-4ae7-a39a-7239db1b9b2a>	Dorsal fin of breeding males and females: membranes dark in males and females
